path,label
pose_out_dcsass/Shoplifting025_x264/track_32.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_33.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_24.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_30.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_18.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_20.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_21.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_35.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_37.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_36.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_2.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_51.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_50.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_44.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_3.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_1.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_52.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_46.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_4.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_5.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_40.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_6.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_8.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_9.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_49.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_48.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_10.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_39.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_28.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_14.npy,shoplifting
pose_out_dcsass/Shoplifting025_x264/track_16.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_261.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_275.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_329.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_315.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_117.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_116.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_33.npy,shoplifting
pose_out_dcsass/Shoplifting009_x264/track_260.npy,shoplifting
